Index|Word|Definition|Grouping
3864|Neuter|To Remove Sex Organs From An Animal|Verb

3865|Neutral|Not Taking Sides In A Conflict Such As War, Nonaligned|Adjective

3866|Nexus|A Means Of Connection, Tie, Link|Noun

3867|Nib|The Point Of A Pen, Or Either Of Its Divisions|Noun

3868|Niggardly|Withholding For The Sake Of Meanness, Stingy, Miserly|Adjective

3869|Niggling|Petty, Trivial, Inconsequential|Verb

3870|Nihilist|A Person Who Accepts Or Champions Nihilism|Noun

3871|Nil|Nothing, Zero|Noun

3872|Nimble|Quick And Light In Movement Or Action|Adjective

3873|Nirvana|A Blissful State Attained Through Enlightened Experience|Noun

3874|Nit|The Egg Of A Louse|Noun

3875|Nocturnal|Primarily Active During The Night|Adjective

3876|Noiseless|Producing No Noise, Without Noise|Adjective

3877|Noisome|Offensive Or Disgusting, As An Odor|Adjective

3878|Noisy|Making A Noise, Especially A Loud Sound|Adjective

3879|Nomad|Any Wanderer, Itinerant|Noun

3880|Nomenclature|A Name|Noun

3881|Nomina|(In Ancient Rome) The Second Name Of A Citizen|Noun

3882|Nominal|Being Such In Name Only, So-Called|Adjective

3883|Nominate|To Appoint To A Duty Or Office|Verb

3884|Nominee|A Person Named, Or Designated, By Another, To Any Position|Noun

3885|Non Sequitur|A Statement Containing An Illogical Conclusion|Noun

3886|Non-Combatant|A Person Who Is Not Directly Involved In Combat|Noun

3887|Non-Resident|Not Resident  In A Particular Place|Noun

3888|Nonchalance|Indifference, Carelessness, Coolness|Noun

3889|Nonchalant|Casually Calm And Relaxed|Adjective

3890|Noncommittal|Reluctant To Give Out Information Or Show One'S Opinion|Adjective

3891|Nondescript|Of No Recognized, Definite, Or Particular Type Or Kind|Adjective

3892|Nonentity|An Unimportant Or Insignificant Person|Noun

3893|Nonpareil|A Person Or Thing That Has No Equal, A Paragon|Noun

3894|Nonplus|To Perplex Or Bewilder Someone, To Confound Or Flummox|Verb

3895|Nonplussed|To Have Been Rendered Utterly Perplexed, Puzzle Completely|Verb

3896|Norm|A Standard, Model, Or Pattern|Noun

3897|Normalcy|The State Of Being Normal, The Fact Of Being Normal|Noun

3898|Nostalgia|A Wistful Desire To Return To A Former Time In One'S Life|Noun

3899|Nostrum|A Medicine Sold With False Claims And No Demonstrable Value|Noun

3900|Notes|A Brief Record Of Something Written Down For Memory|Noun

3901|Notorious|Widely Known, Especially For Something Bad, Infamous|Adjective

3902|Novel|New, Original, Especially In An Interesting Way|Adjective

3903|Novellette|A Brief Novel Or Long Short Story|Noun

3904|Novice|A Person Who Is New To The Circumstances, Work, Etc|Noun

3905|Noxious|Harmful, Injurious|Adjective

3906|Nuance|A Subtle Difference Or Distinction In Expression|Noun

3907|Nucleus|The Core, Central Part (Of Something)|Noun

3908|Nude|Without Clothing Or Other Covering Of The Skin|Adjective

3909|Nugatory|Of No Real Value, Trifling, Worthless|Adjective

3910|Nuisance|An Obnoxious Or Annoying Thing|Noun

3911|Nullity|The State Of Being Void, Or Invalid|Noun

3912|Numerical|Of Or Pertaining To Numbers|Adjective

3913|Numismatist|One Who Studies And/Or Collects Coins And/Or Currencies|Noun

3914|Nunnery|A Place Of Residence For Nuns|Noun

3915|Nuptial|Of Or Pertaining To Wedding And Marriage|Adjective

3916|Nurture|To Nourish Or Nurse|Verb

3917|Nutriment|A Source Of Nourishment, Food|Noun

3918|Nutritive|Of Or Pertaining To Nutrition|Adjective

3919|Nuzzle|To Touch Someone Or Something With The Nose|Verb

3920|Oaken|Made From The Wood Of The Oak Tree|Adjective

3921|Oakum|A Material Used To Caulk Or Pack Joints|Noun

3922|Obdurate|Stubborn, Unyielding|Adjective

3923|Obeisance|Demonstration Of An Obedient Attitude|Noun

3924|Obelisk|A Tapered, Stone Monolith Topped With A Pyramidal Point|Noun

3925|Obese|Extremely Overweight|Adjective

3926|Obfuscate|To Confuse, Bewilder, Or Stupefy|Verb

3927|Obfuscation|The Act Of Obscuring The Perception Of Something|Noun

3928|Obituary|A Brief Notice Of A PersonS Death|Noun

3929|Objective|Purpose, Goal|Adjective

3930|Objector|A Person Who Objects To Something|Noun

3931|Obligate|To Compel By A Social, Legal, Or Moral Tie|Verb

3932|Oblique|Neither Perpendicular Nor Parallel To A Line Or Surface|Adjective

3933|Obliterate|To Remove Or Destroy All Traces Of, Do Away With|Verb

3934|Oblivion|The State Of Being Completely Forgotten Or Unknown|Noun

3935|Oblong|Describing Something That Is Longer Than It Is Wide|Adjective

3936|Obloquy|Censure, Blame, Or Abusive Language Aimed At Something|Noun

3937|Obnoxious|Very Annoying, Offensive, Odious Or Contemptible|Adjective

3938|Obscure|To Darken, Make Faint Etc|Verb

3939|Obsequies|Funeral Rites|Noun

3940|Obsequious|Showing Servile Complaisance Or Deference, Fawning|Adjective

3941|Observant|Alert And Paying Close Attention|Adjective

3942|Obsession|A Compulsive Or Irrational Preoccupation|Noun

3943|Obsolescence|The State Of Being ObsoleteNo Longer In Use, Disused|Noun

3944|Obsolete|No Longer In General Use, Fallen Into Disuse|Adjective

3945|Obstetrics|The Care Of Women During And After Pregnancy|Noun

3946|Obstinacy|The State, Or An Act, Of Stubbornness Or Doggedness|Noun

3947|Obstinate|Firmly Or Stubbornly Adhering To One'S Purpose, Opinion|Adjective

3948|Obstreperous|Resisting Control Or Restraint In A Difficult Manner, Unruly|Adjective

3949|Obstruct|To Block Or Fill (A Passage) With Obstacles Or An Obstacle|Verb

3950|Obtrude|To Impose (Something) On Someone Or Into Some Area|Verb

3951|Obtuse|Not Quick Or Alert In Perception, Not Sensitive Or Observant|Adjective

3952|Obvert|To Turn So As To Show Another Side|Verb

3953|Obviate|To Anticipate And Prevent Or Eliminate By Effective Measures|Verb

3954|Occident|That Part Of The Earth Towards The Sunset, The West|Noun

3955|Occlude|To Close, Shut, Or Stop Up (A Passage, Opening, Etc )|Verb

3956|Occult|Any System Claiming Use Or Knowledge Of Secret Forces|Noun

3957|Occupant|A Person Who Occupies A Place Or A Position|Noun

3958|Occurrence|Actual Instance Where A Situation Arises|Noun

3959|Octagon|A Polygon With Eight Sides And Eight Angles|Noun

3960|Octave|An Interval Spanning Eight Degrees Of The Diatonic Scale|Noun

3961|Octavo|A Book Printed On Sheets Folded To Form 8 Leaves Or 16 Pages|Noun

3962|Octogenarian|Being Between The Age Of 80 And 89, Inclusive|Adjective

3963|Ocular|Of, Or Relating To The Eye, Or The Sense Of Sight|Adjective

3964|Oculist|An Ophthalmologist|Noun

3965|Oddity|An Odd Or Strange Thing|Noun

3966|Ode|A Short Poetical Composition, A Lyric Poem|Noun

3967|Odious|Deserving Or Causing Hatred, Hateful, Detestable|Adjective

3968|Odium|Intense Hatred, Especially Toward A Contemptible Person|Noun

3969|Odoriferous|Having An Odor Or Fragrance|Adjective

3970|Odorous|Having A Distinctive Odor|Adjective

3971|Offhand|Without Planning Or Thinking Ahead|Adjective

3972|Officiate|To Perform The Functions Of Some Office|Verb

3973|Officious|Obliging, Attentive, Eager To Please|Adjective

3974|Offshoot|A Branch Or Lateral Shoot  From A Main Stem, As Of A Plant|Noun

3975|Ogle|To Stare At (Someone Or Something), Especially Covetously|Verb

3976|Ogre|A Type Of Giant From Folk Tales That Eats Human Flesh|Noun

3977|Ointment|A Viscous Preparation Of Oils Used As A Treatment|Noun

3978|Olfactory|Concerning The Sense Of Smell|Adjective

3979|Oligarchy|Government By The Few|Noun

3980|Ominous|Portending Evil Or Harm, Foreboding|Adjective

3981|Omission|The Act Of Omitting|Noun

3982|Omnipotent|Almighty Or Infinite In Power, As God|Adjective

3983|Omnipresent|Being Everywhere Simultaneously|Adjective

3984|Omniscient|Having Total Knowledge|Adjective

3985|Omnivorous|Having A Diet Which Is Neither Carnivorous Nor Herbivorous|Adjective

3986|Onerous|Burdensome, Oppressive, Or Troublesome, Causing Hardship|Adjective

3987|Onomatopoeia|The Property Of A Word Of Sounding Like What It Represents|Noun

3988|Onrush|A Forceful Rush Or Flow Forward|Noun

3989|Onset|The Beginning Or Start|Noun

3990|Onslaught|An Onset, Assault, Or Attack, Especially A Vigorous One|Noun

3991|Onus|A Legal Obligation|Noun

3992|Opalescence|Exhibiting A Play Of Colors Like That Of The Opal|Noun

3993|Opaque|To Make, Render (More) Opaque|Verb

3994|Operetta|A Lighter Opera With A Frivolous Story And Spoken Dialogue|Noun

3995|Opinion|To Have Or Express As An Opinion|Verb

3996|Opponent|An Individual Or Group Who Is A Rival Of Another|Noun

3997|Opportune|Suitable For Some Particular Purpose|Adjective

3998|Opposite|Located Directly Across From Something Else|Adjective

3999|Opprobrium|The Reproach Incurred By Conduct Considered Shameful|Noun

4000|Opt|To Choose, To Select|Verb

4001|Optic|Of, Or Relating To The Eye Or To Vision|Adjective

4002|Optician|A Person Who Makes Or Sells Lenses, Spectacles Etc|Noun

4003|Optimism|A Tendency To Expect The Best|Noun

4004|Option|Something That May Be Or Is Chosen, Choice|Noun

4005|Optometry|The Art And Science Of Vision And Eye Care|Noun

4006|Opulence|Wealth|Noun

4007|Opulent|Luxuriant, And Ostentatiously Magnificent|Adjective

4008|Opus|A Musical Composition|Noun

4009|Oracular|Of Or Relating To An Oracle|Adjective

4010|Oral|Uttered By The Mouth, Spoken|Adjective

4011|Orate|To Speak Formally, To Give A Speech|Verb

4012|Oratorio|A Musical Composition On A Religious Theme|Noun

4013|Oratory|The Art Of Public Speaking, Especially In A Formal Manner|Noun

4014|Ordain|To Invest With Ministerial Functions Or Holy Orders|Verb

4015|Ordeal|A Painful Or Trying Experience|Noun

4016|Ordinal|Of A Number, Indicating Position In A Sequence|Adjective

4017|Ordinance|A Local Law Or Regulation|Noun

4018|Ordinate|The Distance From The X-Axis Measured Parallel To The Y-Axis|Noun

4019|Ordnance|Military Equipment, Especially Weapons And Ammunition|Noun

4020|Orgies|(Plural) Wild, Drunken Or Licentious Festivity Or Revelry|Noun

4021|Orifice|A Mouth Or Aperture, As Of A Tube, Pipe, Etc, An Opening|Noun

4022|Origin|Something From Which Anything Starts, The Source|Noun

4023|Ornate|Elaborately Ornamented, Often To Excess|Adjective

4024|Ornithology|The Branch Of Zoology That Deals With Birds|Noun

4025|Orthodox|The Traditional Doctrines Of An Ideology, Faith Or Religion|Adjective

4026|Orthodoxy|Correctness In Doctrine And Belief|Noun

4027|Orthogonal|Pertaining To Right Angles, Perpendicular (To)|Adjective

4028|Orthopedics|Medical, Concerned With The Spine And Joints|Noun

4029|Orthopedist|An Orthopedic Surgeon|Noun

4030|Oscillate|To Swing Back And Forth, Especially With A Regular Rhythm|Verb

4031|Oscillation|An Act Or Instance Of Oscillating|Noun

4032|Osculate|To Come Into Close Contact Or Union|Verb

4033|Ossify|To Convert Into Or Cause To Harden Like Bone|Verb

4034|Ostensible|Outwardly Appearing As Such, Professed|Adjective

4035|Ostracize|To Exclude (A Person) From Society Or From A Community|Verb

4036|Oud|A Musical Instrument Belonging To The Lute Family|Noun

4037|Ought|Indicating Duty Or Obligation|Verb

4038|Oust|To Expel, To Remove|Verb

4039|Outbreak|A Sudden Breaking Out Or Occurrence, Eruption|Noun

4040|Outcry|A Strong And Usually Public Expression Of Protest|Noun

4041|Outlandish|Bizarre, Strange|Adjective

4042|Outlast|To Live, Last Or Remain Longer Than Something Else|Verb

4043|Outlaw|A Fugitive From The Law, Lawless Person|Noun

4044|Outpost|A Military Post Stationed At A Distance From The Main Army|Noun

4045|Outrage|Any Gross Violation Of Law Or Decency|Noun

4046|Outreach|To Exceed|Verb

4047|Outride|To Ride (A Horse, Bicycle, Etc ) Better Than (Someone)|Verb

4048|Outrigger|(Nautical) Beams That Provide Support For A Mast Or A Canoe|Noun

4049|Outright|Complete Or Total|Adjective

4050|Outskirt|A More Remote Part Of A Town Or City, The Periphery|Noun

4051|Outstretch|To Extend By Stretching|Verb

4052|Outstrip|To Outrun Or Leave Behind|Verb

4053|Outweigh|To Exceed In Weight Or Value|Verb

4054|Ovation|Prolonged Enthusiastic Applause|Noun

4055|Overhang|To Hang Over (Something)|Verb

4056|Overleap|To Leap Over, To Jump Over, To Cross By Jumping|Verb

4057|Overlord|A Ruler Of Other Rulers|Noun

4058|Overpass|A Road, Pedestrian Walkway, Etc, Crossing Over Some Barrier|Noun

4059|Overproduction|Production Of More Of A Commodity Than Can Be Used Or Sold|Noun

4060|Overreach|To Reach Above Or Beyond In Any Direction|Verb

4061|Overrun|To Defeat An Enemy And Invade In Great Numbers|Verb

4062|Oversee|To Supervise, Guide, Or Direct Actions Of A Person Or Group|Verb

4063|Overseer|One Who Oversees Or Supervises, A Supervisor|Noun

4064|Overshadow|To Dominate Something And Make It Seem Insignificant|Verb

4065|Overstride|To Surpass|Verb

4066|Overt|Open And Not Secret Nor Concealed|Adjective

4067|Overthrow|To Bring About The Downfall Of A Government, Etc.|Verb

4068|Overtone|An Implicit Meaning, As Opposed To A Hidden Meaning|Noun

4069|Overture|An Approach Made To Establish A Relationship|Noun

4070|Overweening|Unduly Confident, Arrogant, Presumptuous, Conceited|Adjective

4071|Overweight|Weighing Too Much Or More Than Is Considered Normal|Adjective

4072|Overwrought|In A State Of Excessive Nervousness, Excitement, Or Anger|Adjective

4073|Pacific|Calm, Peaceful|Adjective

4074|Pacifist|One Who Support Sor Favours Peace|Noun

4075|Pacify|To Bring Peace By Ending War, Violence, Anger Or Agitation|Verb

4076|Pact|An Agreement, A Compact, A Covenant|Noun

4077|Paean|Any Loud And Joyous Song, A Song Of Triumph|Noun

4078|Pagan|Person Or Community Observing A Polytheistic Religion|Noun

4079|Pageant|An Elaborate Public Display, I.E. A Parade In Costume|Noun

4080|Painstaking|Carefully Attentive To Details, Diligent In A Procedure|Adjective

4081|Palatable|Pleasing To The Taste, Tasty|Adjective

4082|Palate|The Sense Of Taste|Noun

4083|Palatial|Of Or Relating To A Palace|Adjective

4084|Paleontology|Study Of Life In Prehistoric Times, Represented By Fossils|Noun

4085|Palette|A Thin Board On Which A Painter Lays And Mixes Colours|Noun

4086|Palinode|Poem Where An Author Retracts Something From An Earlier Poem|Noun

4087|Palisade|A Fence Of Stakes Set Firmly In The Ground, For Enclosure|Noun

4088|Pall|A Cloth For Spreading Over A Coffin|Noun

4089|Palliate|To Relieve The Symptoms Of|Verb

4090|Palliative|Minimising Progression Of A Disease For As Long As Possible|Adjective

4091|Pallid|Appearing Weak, Pale Or Wan|Adjective

4092|Pallor|Unusual Paleness|Noun

4093|Palpable|Capable Of Being Touched, Felt Or Handled|Adjective

4094|Palpitate|To Throb, Beat Strongly|Verb

4095|Palsy|Any Atonal Muscular Condition Characterised By Tremors|Noun

4096|Paltry|Ridiculously Or Insultingly Small|Adjective

4097|Paludal|Of Or Pertaining To Marshes|Adjective

4098|Pamphlet|A Small Booklet Of Printed Informational Matter|Noun

4099|Pamphleteer|A Writer Or Publisher Of Pamphlets|Noun

4100|Pan-American|Of All The Countries Of North, Central And South America|Adjective

4101|Panacea|A Remedy For All Disease Or Ills, A Cure-All|Noun

4102|Panache|A Grand Or Flamboyant Manner|Noun

4103|Pandemic|Disease Prevalent In A Country, Continent, Or The World|Adjective

4104|Pandemonium|Wild Uproar Or Unrestrained Disorder|Noun

4105|Pander|To Cater To Or Profit From The Weaknesses Of Others|Verb

4106|Panegyric|A Lofty Oration Or Writing In Praise Of A Person Or Thing|Noun

4107|Panoply|A Splendid Display Of Something|Noun

4108|Panorama|An Unobstructed And Wide View Of An Extensive Area|Noun

4109|Pantheism|Doctrine That God Is Transcendent Reality Of The Universe|Noun

4110|Pantheon|A Temple Dedicated To All The Gods|Noun

4111|Pantomime|The Art Of Conveying Actions By Gestures Without Speech|Noun

4112|Pantoscope|A Very Wide-Angled Photographic Lens|Noun

4113|Papacy|The Office Of The Pope|Noun

4114|Papyrus|A Tall, Aquatic Plant Native To The Nile Valley|Noun

4115|Parable|A Short Allegorical Story That Illustrates A Moral Lesson|Noun

4116|Paradigm|An Example Serving As A Model|Noun

4117|Paradox|Seemingly Contradictory Statement That May Be True|Noun

4118|Paragon|A Model Or Pattern Of Excellence|Noun

4119|Parallel|Extending In Same Direction, Never Converging Or Diverging|Adjective

4120|Paralyze|To Afflict With Paralysis|Verb

4121|Parameters|Limits Or Boundaries, Guidelines|Noun

4122|Paramount|Chief In Importance Or Impact, Supreme, Preeminent|Adjective

4123|Paramour|An Illicit Lover, Especially Of A Married Person|Noun

4124|Paraphernalia|Miscellaneous Items, Stuff|Noun

4125|Paraphrase|To Restate Something As, Or To Compose A Paraphrase|Verb

4126|Parasite|Organism That Lives In, Gets Nutrients From Another Organism|Noun

4127|Parch|To Make Extremely, Excessively, Or Completely Dry|Verb

4128|Parchmnet|The Skin Of Sheep, Used As A Material On Which To Write|Verb

4129|Pare|To Cut Off The Outer Coating, Layer Or Part Of|Verb

4130|Parentage|Descent From Ancestors, Birth, Origin Or Lineage|Noun

4131|Pariah|An Outcast|Noun

4132|Parisian|Of, Or Pertaining To, Or Characteristic Of Paris, France|Adjective

4133|Parity|Equality, As In Amount, Status Or Character|Noun

4134|Parlance|A Way Or Manner Of Speaking, Vernacular, Idiom|Noun
